['PROPN', 'PUNCT', 'ADV', 'SCONJ', 'DET']
['PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN']
['PROPN', 'NUM', 'PUNCT', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'NOUN', 'PUNCT', 'ADP']
['PROPN', 'NOUN', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'CCONJ', 'ADP', 'DET', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB']
['PROPN', 'PUNCT', 'PRON', 'VERB', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'DET', 'NOUN', 'ADP', 'NOUN']
['PROPN', 'PROPN', 'NOUN', 'PUNCT', 'ADP']
['PROPN', 'NOUN', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'CCONJ', 'ADP', 'DET', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'ADV', 'ADJ']
['PROPN', 'PUNCT', 'ADV', 'ADJ', 'ADP']
['PROPN', 'PROPN', 'ADP', 'PROPN', 'PUNCT']
['PROPN', 'ADP', 'PROPN', 'PUNCT', 'PART']
['PROPN', 'PUNCT', 'PART', 'NOUN', 'PUNCT']
['PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN']
['PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP']
['PROPN', 'PROPN', 'ADP', 'VERB', 'PRON']
['PROPN', 'ADP', 'VERB', 'PRON', 'ADV']
['PROPN', 'PROPN', 'NOUN', 'PUNCT', 'ADP']
['PROPN', 'NOUN', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'CCONJ', 'ADP', 'DET', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'ADP']
['PROPN', 'PUNCT', 'CCONJ', 'ADP', 'DET']
['PROPN', 'ADJ', 'ADJ', 'DET', 'NOUN']
['PROPN', 'PROPN', 'ADP', 'NOUN', 'ADJ']
['PROPN', 'ADP', 'NOUN', 'ADJ', 'ADP']
['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'PUNCT']
['PROPN', 'PUNCT', 'CCONJ', 'PUNCT', 'ADP']
['PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT']
['PROPN', 'PROPN', 'CCONJ', 'NOUN', 'ADP']
['PROPN', 'CCONJ', 'NOUN', 'ADP', 'NOUN']
['PROPN', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']
['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'CCONJ', 'DET', 'NOUN']
['PROPN', 'CCONJ', 'DET', 'NOUN', 'ADJ']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN']
['PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN']
['PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'VERB', 'ADP', 'NOUN']
['PROPN', 'VERB', 'ADP', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'SCONJ', 'PUNCT']
['PROPN', 'PUNCT', 'SCONJ', 'PUNCT', 'ADP']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'ADP', 'DET']
['PROPN', 'PUNCT', 'ADP', 'DET', 'NOUN']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN']
['PROPN', 'PUNCT', 'DET', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'ADP', 'DET', 'PROPN']
['PROPN', 'ADP', 'DET', 'PROPN', 'PROPN']
['PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'PUNCT']
['PROPN', 'PUNCT', 'CCONJ', 'PUNCT', 'ADP']
['PROPN', 'NOUN', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'DET']
['PROPN', 'PUNCT', 'CCONJ', 'DET', 'NOUN']
['PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN']
['PROPN', 'PROPN', 'ADP', 'NOUN', 'ADP']
['PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN']
['PROPN', 'NUM', 'PROPN', 'ADP', 'NOUN']
['PROPN', 'ADP', 'NOUN', 'PROPN', 'NUM']
['PROPN', 'NUM', 'PUNCT', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN']
['PROPN', 'PUNCT', 'DET', 'NOUN', 'VERB']
['PROPN', 'PROPN', 'ADP', 'PROPN', 'ADJ']
['PROPN', 'ADP', 'PROPN', 'ADJ', 'DET']
['PROPN', 'ADJ', 'DET', 'NOUN', 'ADP']
['PROPN', 'PROPN', 'ADP', 'PROPN', 'VERB']
['PROPN', 'ADP', 'PROPN', 'VERB', 'ADJ']
['PROPN', 'VERB', 'ADJ', 'NOUN', 'CCONJ']
['PROPN', 'CCONJ', 'NOUN', 'ADJ', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADV', 'NOUN']
['PROPN', 'ADJ', 'PUNCT', 'AUX', 'ADV']
['PROPN', 'AUX', 'VERB', 'NOUN', 'ADP']
['PROPN', 'AUX', 'VERB', 'NOUN', 'PUNCT']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'NOUN', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'ADP']
['PROPN', 'PUNCT', 'CCONJ', 'ADP', 'DET']
['PROPN', 'ADJ', 'CCONJ', 'NOUN', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'NOUN', 'ADP']
['PROPN', 'CCONJ', 'NOUN', 'ADJ', 'PROPN']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NOUN']
['PROPN', 'PROPN', 'CCONJ', 'DET', 'NOUN']
['PROPN', 'CCONJ', 'DET', 'NOUN', 'ADJ']
['PROPN', 'PROPN', 'ADP', 'NOUN', 'ADP']
['PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN']
['PROPN', 'VERB', 'PUNCT', 'ADJ', 'NOUN']
['PROPN', 'ADJ', 'DET', 'NOUN', 'ADP']
['PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN']
['PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'ADP', 'SCONJ']
['PROPN', 'PUNCT', 'ADP', 'SCONJ', 'ADP']
['PROPN', 'PROPN', 'PUNCT', 'AUX', 'VERB']
['PROPN', 'PUNCT', 'AUX', 'VERB', 'PRON']
['PROPN', 'CCONJ', 'DET', 'PRON', 'ADP']
['PROPN', 'NOUN', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'PUNCT', 'ADJ', 'ADP', 'DET']
['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']
['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'DET']
['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'NOUN', 'ADJ']
